name,address,location,rating,photo_reference
Zontiga,"21A, Jalan 20/13, Taman Paramount, 46300 Petaling Jaya, Selangor, Malaysia","{'lat': 3.1061722, 'lng': 101.6248511}",4.7,AZose0nkJU9dpoGLavLUh9ZnLT8yu2el5XgIpCGYTgsi9hp2VscCW9wxWM_qzaRccDu6a6fMn35tkiQ2i8ZXFjlSNdP4eOLQpWPEXv9jovRB4yQYAbO6CaT7zkGBQ9mDBcol6stPzd3_9uoZnTXeXEsnZPNUpZWHu_ZLoaP_FO9f-NkuxeQN
Awesome Canteen,"19, Jalan 20/13, Taman Paramount, 46300 Petaling Jaya, Selangor, Malaysia","{'lat': 3.1061717, 'lng': 101.6248583}",4.1,AZose0k7n_RlNd4YdT2ignAWUmHnjiTIA6woyaIGn8X2iJrby1f_0KpUZFumcsXQXaT_2DomR6yQb9QiD4e_Myo2Th9laz69hqdEEgpHrKiqfWsVfX3IJp1q4ML2MihMDBDhjCbDWWA_7bsH04fZggzS6SbWLJrJ-2Dbwu09H_v7MnMbEHaq
The Zhongshan Building,"Jalan Kampung Attap, 80 - 84, Jalan Rotan, 50460 Kuala Lumpur, Malaysia","{'lat': 3.1377904, 'lng': 101.6970283}",4.5,AZose0kdZSNTr1Ow2r1LnpwcrlbHCjY5VKTXBrvP9PM8S6rykPJXYNMpH-BWZ8hUttMCZAUWkGhJsV2qd9RIYGXKEuW4MOipJVSUtKoNGqqJxPEqwDgRVFcUCYJm2NExuv4yaZ_gBitgbCVM0QskZpD5ZvwjaXhQC6UAQehlApbLr7HgBshJ
A Place Where - APW,"29, Jalan Riong, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","{'lat': 3.1241507, 'lng': 101.6742182}",4.3,AZose0m-6l6b82E3VQLqBSlzKjSMws5ludwSc8V4Ywy_K6JnnLM914-gG85Ac8KKygjHjfxvytkd33WvrM5QQ1q6j0-1hbSppoTLBclA9sV1UXO-cLIBj0xX0LK53rgOQ7p4-dcgwG9ZujWikLT23yO-_Zy1x1b5LAiGvLjdn1Ebfzk8tems
Breakfast Thieves APW Bangsar,"Lot M, 29-5, Jalan Riong, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","{'lat': 3.1243183, 'lng': 101.6741622}",4.1,AZose0lK3ryHs0tR4Tq79Qp1e07Pc5BKx_Zc4KYvXuroyDSjpe5951_9mU9Prd-yFDBBun3BZ5uyuXxuxCijslee5S2GiQUPnMrc1JTwTiQJW9cuVhj7qXQK3WggmbkFeDEHGuIw4nTWgjJWnGJclkVNipODd8YnXAjAVsvtgNdeyogijkCP
Pertubuhan Akitek Malaysia,"99L, Jln Tandok, Bangsar, 59100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia","{'lat': 3.1240964, 'lng': 101.6734677}",4.5,AZose0naTZunIAjGjae1XQ_qLszEY3aRBUzhUyI1ho3Igl6Q7vEVdyp7rm1arNmpgx8acOhSkLXxzDnQf8mrKo3B7aeyZd5uhwM38ilyUKyez1TnKUKWKuELDdINiOLiGDya4iUXo0yXXlfSG9BnCdWtAAhpEDBejX6OCUhgSAqFpAwxxu0Y
REXKL,"80, Jalan Sultan, City Centre, 50000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","{'lat': 3.1449093, 'lng': 101.6984824}",4.5,AZose0kDu-XwlKq8gT1ld5u90W2GjPqxEwj3OcBqji817ZLU7RxnW5l8OlbrFU0bNqX0mSRJ5DtIYo7KyacjFAyiS6jNv4go1mZkc8BZPmX8bmVtOL5Cro7zySxLRsl7ZQIQhmP-1ii3qVWnJLRBhJ5tR6WgI4I03WG7NzRBp1tZ-voFT-aY
Kongsi KL,"Taman Goodwood, 58200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia","{'lat': 3.0888161, 'lng': 101.6752471}",4.1,AZose0mm16TibmDD2OC6pD-j97zgFdg2oRCzcE34ttPc2FXeoS-8fBtrlgAhp5-0zsUa5PB2qUw0b0-ddwmibhXgLm6XMY2jtEYACV-kz-UfSfIfDddvqhDkieC7dz448fgAZbswpQrjAonTihPmI_4rE5IsfefLYPUK_Zug3fTrG8aAmjmB
The Godown Arts Centre,"7, 11 Lorong Ampang, off, Jln Bukit Nanas, 50250 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia","{'lat': 3.1498331, 'lng': 101.6987245}",4.5,AZose0lqYgi-_JeU7datJt3VEKoCz8m63oEI0LWLRHtpMYf5yfaO_taHxrO4-K3djPIAII_CaRZX1p5-Vfr6E0VX_iZS3k_IsHHYzeXJn9xqxN8fxTFdIW1wL065V42UgxiygK6GfjoHhn7ZsMn0kj3bg2uOhvT1mUd7-9eSC6NNcw5euZj-
Rumah Tangsi,"10, Jalan Tangsi, Tasik Perdana, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","{'lat': 3.1496267, 'lng': 101.6920191}",4.4,AZose0kLK4YY3JUg5qJ7ONR67KApxvjnKPpu6xB6g4MFoKUyIwJK4adrzb6UUU8kIm1DjfvWGFUpaehEp4lAzR_FCShvRkx16yl0hFg41Viuf7SAnEeQ6V94Nj5Vm6yR1TH-wfHFn3YP9Pgi7jDZrwmBceZj1xO1knLHMN3DTlNM1rxIbj1Z
Snackfood,"A-3-1, Centrio, Jalan Pantai Murni 8, Pantai Hillpark, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","{'lat': 3.1073194, 'lng': 101.6660072}",4.8,AZose0nfBcbEK8p6L0pIXgguu0J-nDqj4xPPgWbNRLCnlA_8E_pNcUap_kJzZ6Wafc9HAJDENlHcbq5xa2N0vCPotzv5XShHM8I0UB5WexZ2yemal0ZVpxFreYvVAT_vsv02eAhpCqIG7kfDTx2Waax2ymfexG2h-BAuZLfF4jfhUhDjsdQO
Pakka English Enterprise,"63, Lrg Maarof, Bangsar, 59000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","{'lat': 3.1305858, 'lng': 101.6736228}",0,AZose0lvuYfcN7rQ-yGi81OFZazrVrBBzpfI0yzkB5lY2tJ8IjRl006UmzQoUf5_mOkFWtvbVcXD7bIPW1DYWfdF8LdjUFyYKI5g88_KKaspnTDJLTixNHBdCewd2Z8mRp-l8GT0FNX250_B2_g6LcJwCzCFwKqBDLGWhiQsOCYcTUryksiG
Gerakbudaya,"2, Jalan Bukit 11/2, Seksyen 11 Petaling Jaya, 46200 Petaling Jaya, Selangor, Malaysia","{'lat': 3.1117819, 'lng': 101.6460983}",4.6,AZose0ntz7tOCKFQKTqy9v9fe8i67md8SHwsUhjt36gxHinprksJBewRzd8IxW2YqbdJ2-K2VL0VlZFV4vE9meh1Q9gv5LB-PbDYK9aKmrCzPC-1iBNe4RYCDiqldSt53VHk0KCrg3vRJ9keLr57hzKcExOT3q8aBLBQHmtIP388w-KRP1D0
eslite spectrum The Starhill,"Jln Bukit Bintang, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","{'lat': 3.1476298, 'lng': 101.7134393}",4.6,AZose0m3v6u9-DP3_ESHmH_B3MQmevoD1kCv_sBP6VdVAJrH6HT3ESNVqRSlE22S4wOQa0MkWDWmevzr6VFtuK4IWvYndwEGeh9L_7H73CUamSH0NUBzAOGovc0_tsmhZQDFxfqpzgiFpLPLCzFUUKkmCiutiuH-jtk8jHYsp0fmyMM3LUjN
Riwayat Bookstore,"34, Jalan Tun H S Lee, City Centre, 50000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","{'lat': 3.1486824, 'lng': 101.6979395}",4.8,AZose0mMxORwqt1OLydzjQBTNGmTo5XTBY6od5y_ffZp26O6U3O25IheHBeMPHdA2rgrIGS-ro4yKNQsubPTecxdFR2V8JkmMNw5cklREgipFaTNX5QRSphIXYrlQLFwe4pw-CxVa-2MDPoLPpbuYqjEaQ8vmyqQzJEys8Nw9EHEZu9PRy4b
Kuala Lumpur Performing Arts Centre (klpac),"Jln Sultan Azlan Shah, Sentul, 51100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","{'lat': 3.1851701, 'lng': 101.6863923}",4.5,AZose0lT0zqLqDqb5WUNhi6erVdIUeQplixU4CzBhTh9QkjAGXvlArZkq1NYO1C55-cqrDq6lyEhH3Csa3ZSzo7nNwDnzxQnCQpoVQoWnFUnPd2B1zLoTfoGp_KXvC7Ckd0HSJP7jJPdHFc9wvdncVuxKRXdDkiGVNgGRUo9tAspfxRo7Uho
temu house,"49, Jalan 16/9e, Seksyen 16, 46350 Petaling Jaya, Selangor, Malaysia","{'lat': 3.1250478, 'lng': 101.644608}",4.5,AZose0nMGlSu806HLRdFM5roeXkdZdvTaBB2C_jNDU4X22fxPUxElDKMdcJmdeID4eZjjROV_fJ3J74m-uSpJkBcdd-bNh5jOJiNkYr0VBRjjD7pKl3tRRrWy9jwmT9omm-rZxu3JA9ZLorYrBYepb7gs1j6pH7azeqdKy7otgeFpDZ59A1a
